Player,Standing,Year,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
Felix Mantilla,8,1997,163.0,30.7,57.1,32.9,42.3
Jonas Bjorkman,9,1997,162.9,31.5,55.9,31.6,43.9
Todd Woodbridge,10,1997,160.2,31.2,54.5,30.1,44.4
Carlos Costa,11,1997,159.7,30.1,54.6,28.8,46.2
Sergi Bruguera,12,1997,159.4,30.4,53.5,29.4,46.1
Andrea Gaudenzi,13,1997,159.4,32.2,50.6,29.0,47.6
Albert Portas,14,1997,159.4,30.3,56.5,28.5,44.1
Jason Stoltenberg,15,1997,158.7,31.9,52.0,28.4,46.4
Karol Kucera,16,1997,157.7,33.4,52.4,30.2,41.7
Jan Kroslak,17,1997,156.5,31.1,52.6,27.6,45.2
Slava Dosedel,18,1997,156.2,32.8,53.2,28.5,41.7
Pete Sampras,19,1997,155.7,30.5,52.7,27.7,44.8
Hicham Arazi,20,1997,154.9,32.2,51.4,27.4,43.9
Andrei Medvedev,21,1997,154.5,32.2,51.1,27.5,43.7
Nicolas Lapentti,22,1997,153.7,32.0,51.8,27.5,42.4
Jiri Novak,23,1997,152.9,27.2,54.1,26.8,44.8
Fernando Meligeni,24,1997,152.8,31.8,51.8,27.2,42.0
Byron Black,25,1997,152.7,29.1,55.5,26.8,41.3
Albert Costa,26,1997,152.6,29.7,54.1,27.7,41.1
Magnus Gustafsson,27,1997,152.6,31.5,51.9,27.4,41.8
Arnaud Boetsch,28,1997,152.3,31.2,53.1,25.5,42.5
Fabrice Santoro,29,1997,152.0,31.4,51.7,26.7,42.2
Bohdan Ulihrach,30,1997,152.0,28.5,51.8,26.7,45.0
Marcelo Filippini,31,1997,151.4,32.5,52.9,27.6,38.4
Yevgeny Kafelnikov,32,1997,151.2,28.6,53.9,27.3,41.4
Hernan Gumy,33,1997,151.0,29.2,54.3,26.5,41.0
Javier Sanchez,34,1997,151.0,30.4,50.6,25.8,44.2
Tommy Haas,35,1997,150.9,29.2,52.1,26.4,43.2
Filip Dewulf,36,1997,150.7,29.6,50.1,25.7,45.3
Jeff Tarango,37,1997,150.6,29.4,53.1,26.1,42.0
Cedric Pioline,38,1997,149.9,29.7,52.8,26.0,41.4
Marcelo Rios,39,1997,149.4,29.0,53.4,27.2,39.8
Mark Woodforde,40,1997,148.5,29.9,52.5,25.6,40.5
Thomas Johansson,41,1997,148.3,29.3,52.3,26.5,40.2
Jim Courier,42,1997,147.4,28.4,51.7,24.8,42.5
Wayne Ferreira,43,1997,147.3,30.3,51.6,25.3,40.1
Thomas Muster,44,1997,146.1,27.1,51.9,24.6,42.5
Vincent Spadea,45,1997,146.1,27.0,51.6,23.0,44.5
Patrick Rafter,46,1997,145.8,30.2,50.4,24.3,40.9
Emilio Benfele Alvarez,47,1997,145.7,28.6,50.4,23.0,43.7
Christian Ruud,48,1997,144.9,28.7,52.1,24.4,39.7
Lionel Roux,49,1997,144.6,28.9,49.8,23.6,42.3
Chris Woodruff,50,1997,144.5,29.5,53.1,26.1,35.8
Michael Chang,1,1996,172.1,32.6,57.8,35.7,46.0
Slava Dosedel,2,1996,168.9,34.8,56.0,34.5,43.6
Felix Mantilla,3,1996,168.7,32.9,55.6,33.0,47.2
Carlos Costa,4,1996,167.6,34.4,55.3,34.3,43.6
Alberto Berasategui,5,1996,164.5,32.7,56.9,31.8,43.1
Thomas Muster,6,1996,164.5,31.1,57.8,31.9,43.7
Jiri Novak,7,1996,163.7,31.8,53.9,28.9,49.1
Magnus Gustafsson,8,1996,162.9,34.3,53.1,31.9,43.6
Christian Ruud,9,1996,162.6,31.0,54.1,31.0,46.5
Carlos Moya,10,1996,162.5,33.2,54.2,30.2,44.9
Francisco Clavet,11,1996,161.3,32.9,53.8,30.1,44.5
Albert Costa,12,1996,159.6,32.0,53.2,30.7,43.7
Gilbert Schaller,13,1996,159.6,33.7,53.7,31.4,40.8
Andrei Chesnokov,14,1996,159.3,33.7,50.5,30.8,44.3
Andre Agassi,15,1996,159.1,31.0,55.5,30.8,41.8
Vincent Spadea,16,1996,158.9,30.3,53.8,28.1,46.7
Petr Korda,17,1996,158.6,31.3,54.7,30.1,42.5
Alex Corretja,18,1996,157.6,32.0,51.8,28.8,45.0
Andrei Medvedev,19,1996,156.7,31.6,53.4,28.7,43.0
Thomas Enqvist,20,1996,156.5,29.4,54.7,29.5,42.9
Hernan Gumy,21,1996,156.3,29.2,53.1,26.1,47.9
Karol Kucera,22,1996,155.9,32.6,52.3,27.6,43.4
Bohdan Ulihrach,23,1996,155.9,29.6,56.6,29.0,40.7
Richey Reneberg,24,1996,155.5,29.8,53.6,27.6,44.5
Marcelo Rios,25,1996,154.8,30.7,53.1,28.7,42.3
Stefan Edberg,26,1996,154.6,32.1,52.6,28.9,41.0
Jason Stoltenberg,27,1996,154.1,30.7,51.8,26.8,44.8
Jonas Bjorkman,28,1996,153.8,30.5,55.8,28.0,39.5
Andrea Gaudenzi,29,1996,153.8,30.8,54.0,29.6,39.4
Cedric Pioline,30,1996,153.4,28.5,53.9,27.0,44.0
Yevgeny Kafelnikov,31,1996,152.9,30.3,52.4,27.2,43.0
Byron Black,32,1996,152.5,28.8,54.2,26.1,43.4
Todd Woodbridge,33,1996,152.0,29.6,54.0,26.4,42.0
Todd Martin,34,1996,151.9,29.1,54.4,26.0,42.4
Jim Courier,35,1996,151.1,29.4,52.7,26.1,42.9
Marcos Ondruska,36,1996,150.6,32.7,51.0,27.4,39.5
Chris Woodruff,37,1996,150.1,29.7,53.9,27.4,39.1
Michael Joyce,38,1996,149.8,28.3,53.3,25.2,43.0
Filip Dewulf,39,1996,149.4,27.8,51.3,23.4,46.9
Thomas Johansson,40,1996,149.4,27.1,53.6,25.0,43.7
Tomas Carbonell,41,1996,149.1,31.0,50.2,26.0,41.9
Wayne Ferreira,42,1996,146.5,31.1,49.6,24.4,41.4
Jordi Burillo,43,1996,146.0,28.6,49.1,22.6,45.7
Renzo Furlan,44,1996,145.8,28.7,52.1,24.4,40.6
Arnaud Boetsch,45,1996,145.6,29.3,49.7,23.7,42.9
Paul Haarhuis,46,1996,145.5,27.8,50.3,23.0,44.4
Mark Woodforde,47,1996,145.3,28.5,51.1,23.9,41.8
Sandon Stolle,48,1996,145.0,30.5,51.1,24.2,39.2
Bernd Karbacher,49,1996,144.7,29.4,52.4,23.9,39.0
Boris Becker,50,1996,144.6,28.8,51.1,24.2,40.5
Thomas Muster,1,1995,176.3,33.7,57.3,35.9,49.4
Bohdan Ulihrach,2,1995,173.9,35.9,54.1,35.9,48.0
Andre Agassi,3,1995,172.5,32.1,59.7,35.7,45.0
Tomas Carbonell,4,1995,167.0,34.6,54.8,30.9,46.7
Francisco Clavet,5,1995,166.6,33.7,56.4,33.5,43.0
Gilbert Schaller,6,1995,166.5,33.5,55.5,33.6,43.9
Sergi Bruguera,7,1995,165.9,33.4,55.0,32.6,44.9
Michael Chang,8,1995,164.8,32.0,57.5,31.9,43.4
Slava Dosedel,9,1995,164.1,32.8,56.0,31.4,43.9
Fernando Meligeni,10,1995,163.6,32.5,53.1,30.9,47.1
Thomas Enqvist,11,1995,162.5,31.6,55.4,32.2,43.3
Carlos Costa,12,1995,161.0,34.3,53.3,31.8,41.6
Alberto Berasategui,13,1995,160.9,31.5,55.1,29.9,44.4
Christian Ruud,14,1995,160.1,33.2,54.5,30.0,42.4
Stefan Edberg,15,1995,159.5,32.7,53.3,30.2,43.3
Yevgeny Kafelnikov,16,1995,159.1,31.2,53.8,30.0,44.1
Alex Corretja,17,1995,158.9,32.8,52.5,29.6,44.0
Jordi Arrese,18,1995,158.2,32.5,54.5,29.7,41.5
Hernan Gumy,19,1995,158.2,34.9,51.1,29.8,42.4
Andrei Medvedev,20,1995,158.1,33.5,52.1,29.7,42.8
Vincent Spadea,21,1995,157.3,32.6,53.9,28.9,41.9
Mats Wilander,22,1995,156.6,29.1,54.0,27.7,45.8
Marcelo Rios,23,1995,155.8,32.9,52.7,28.5,41.7
Jordi Burillo,24,1995,155.0,32.3,51.5,28.3,42.9
Marcos Ondruska,25,1995,154.9,30.8,52.1,26.4,45.6
Albert Costa,26,1995,154.8,31.0,53.7,28.8,41.3
Jonas Bjorkman,27,1995,154.6,32.6,54.3,29.2,38.5
Javier Sanchez,28,1995,154.4,31.8,52.3,28.4,41.9
Marcelo Filippini,29,1995,154.2,32.4,52.5,26.8,42.5
Wayne Ferreira,30,1995,153.8,31.5,52.5,27.9,41.9
Andrea Gaudenzi,31,1995,153.0,31.7,53.1,27.9,40.3
Jason Stoltenberg,32,1995,151.9,33.3,51.3,27.9,39.4
Jim Courier,33,1995,151.0,27.7,53.5,25.4,44.4
Renzo Furlan,34,1995,150.5,30.5,51.8,26.4,41.8
Pete Sampras,35,1995,150.5,29.0,53.2,25.9,42.4
Andrei Chesnokov,36,1995,150.3,31.2,51.8,27.1,40.2
MaliVai Washington,37,1995,149.8,30.7,50.8,25.7,42.6
Petr Korda,38,1995,149.6,31.0,53.3,25.8,39.5
Aaron Krickstein,39,1995,149.2,25.4,55.1,24.1,44.6
Patrick McEnroe,40,1995,148.9,25.1,56.9,24.8,42.1
Javier Frana,41,1995,148.8,26.9,52.9,25.0,44.0
Fabrice Santoro,42,1995,148.5,31.1,53.2,26.2,38.0
Jaime Yzaga,43,1995,148.3,30.6,50.8,25.5,41.4
Brett Steven,44,1995,148.2,29.6,51.4,23.8,43.4
Bernd Karbacher,45,1995,148.1,30.7,51.4,25.9,40.1
Arnaud Boetsch,46,1995,147.3,29.7,53.7,26.0,37.9
Sjeng Schalken,47,1995,147.2,31.9,50.8,25.3,39.2
Michael Stich,48,1995,146.8,31.7,50.3,25.2,39.6
Karol Kucera,49,1995,146.3,32.6,51.7,25.8,36.2
Stefano Pescosolido,50,1995,145.5,29.7,50.7,25.9,39.2
Alberto Berasategui,1,1994,178.2,36.1,57.8,36.8,47.5
Slava Dosedel,2,1994,175.8,38.0,53.9,36.7,47.2
Sergi Bruguera,3,1994,174.9,33.9,56.2,36.1,48.7
Magnus Gustafsson,4,1994,174.3,37.7,55.8,37.1,43.7
Andre Agassi,5,1994,170.6,31.3,58.2,34.0,47.1
Jordi Arrese,6,1994,166.5,35.0,54.0,33.0,44.5
Marcos Ondruska,7,1994,166.4,32.8,52.8,30.0,50.8
Michael Chang,8,1994,166.1,33.2,56.9,33.1,42.9
Stefan Edberg,9,1994,165.9,33.8,53.6,31.4,47.1
Franco Davin,10,1994,164.6,34.5,53.7,32.9,43.5
Andrei Chesnokov,11,1994,163.9,31.7,55.1,31.9,45.2
Thomas Muster,12,1994,163.6,31.9,55.1,31.9,44.7
Fabrice Santoro,13,1994,162.6,33.9,53.8,31.4,43.5
Tomas Carbonell,14,1994,162.3,34.5,53.3,32.2,42.3
Gilbert Schaller,15,1994,161.3,34.1,53.1,30.7,43.4
Carlos Costa,16,1994,161.1,31.0,56.2,29.9,44.0
Alex Corretja,17,1994,161.1,33.8,54.7,31.3,41.3
Andrei Medvedev,18,1994,160.8,33.7,53.3,30.2,43.6
Renzo Furlan,19,1994,160.1,34.8,50.8,29.5,45.0
Jim Courier,20,1994,159.7,31.9,54.3,29.2,44.3
Francisco Clavet,21,1994,158.5,32.9,55.3,29.8,40.5
Marcelo Filippini,22,1994,158.5,35.3,52.6,31.1,39.5
Yevgeny Kafelnikov,23,1994,157.9,32.4,53.0,29.7,42.8
Richey Reneberg,24,1994,157.3,28.6,55.9,29.2,43.6
Pete Sampras,25,1994,156.9,31.6,53.7,29.3,42.3
Jonas Bjorkman,26,1994,156.4,31.8,56.1,29.2,39.3
Wayne Ferreira,27,1994,155.4,31.1,53.2,28.7,42.4
Jaime Yzaga,28,1994,155.0,31.3,52.2,27.3,44.2
Jean-Philippe Fleurian,29,1994,154.6,31.2,51.7,27.0,44.7
Lars Jonsson,30,1994,154.2,30.5,53.0,27.8,42.9
Aaron Krickstein,31,1994,154.2,29.6,52.9,27.6,44.1
Petr Korda,32,1994,153.9,31.4,50.9,28.1,43.5
Brad Gilbert,33,1994,153.6,32.2,49.4,27.1,44.9
Fernando Meligeni,34,1994,153.6,29.4,52.5,26.6,45.1
Jason Stoltenberg,35,1994,153.0,31.7,52.5,27.4,41.4
MaliVai Washington,36,1994,152.5,30.0,51.4,26.8,44.3
Andrea Gaudenzi,37,1994,151.9,30.8,54.3,27.6,39.2
Mats Wilander,38,1994,151.4,30.3,50.6,25.8,44.7
Jordi Burillo,39,1994,151.1,33.1,48.8,26.0,43.2
Andrei Cherkasov,40,1994,151.0,27.4,55.2,26.0,42.4
Henri Leconte,41,1994,150.7,31.6,52.4,26.9,39.8
Ivan Lendl,42,1994,150.4,30.1,53.2,27.9,39.2
Jeff Tarango,43,1994,148.6,29.0,52.3,25.3,42.0
Albert Costa,44,1994,148.0,31.2,52.6,25.5,38.7
Thomas Enqvist,45,1994,147.9,28.8,52.0,24.6,42.5
Bernd Karbacher,46,1994,147.9,32.2,49.2,24.9,41.6
Hendrik Dreekmann,47,1994,147.4,30.4,52.4,24.9,39.7
Richard Krajicek,48,1994,147.3,29.0,50.8,23.3,44.2
Boris Becker,49,1994,146.3,27.2,53.0,23.4,42.7
Patrick McEnroe,50,1994,145.9,27.8,53.9,25.1,39.1
Andre Agassi,1,1993,175.7,32.2,59.9,38.3,45.3
Alberto Berasategui,2,1993,174.3,36.2,55.8,35.0,47.3
Sergi Bruguera,3,1993,172.9,34.2,55.4,35.9,47.4
Slava Dosedel,4,1993,172.3,37.6,54.7,35.1,44.9
Franco Davin,5,1993,166.3,34.5,53.6,32.3,45.9
Petr Korda,6,1993,166.0,32.8,55.9,32.3,45.0
Thomas Muster,7,1993,165.8,32.3,56.4,33.2,43.9
Michael Chang,8,1993,165.7,33.3,55.2,32.5,44.7
Guillermo Perez-Roldan,9,1993,164.7,34.9,53.6,30.2,46.0
Jordi Burillo,10,1993,164.4,35.6,49.2,30.9,48.7
Horacio de la Pena,11,1993,163.6,32.8,53.5,30.5,46.8
Carlos Costa,12,1993,163.5,31.8,55.6,31.8,44.3
Andrei Chesnokov,13,1993,163.2,33.8,52.4,31.9,45.1
Byron Black,14,1993,161.9,29.9,56.1,29.5,46.4
Francisco Clavet,15,1993,160.3,32.5,52.9,29.8,45.1
Fabrice Santoro,16,1993,160.0,33.4,51.9,29.8,44.9
Marcos Ondruska,17,1993,159.9,34.2,51.8,29.0,44.9
Stefan Edberg,18,1993,159.8,33.4,53.1,30.7,42.6
Richey Reneberg,19,1993,159.8,30.7,55.3,30.1,43.7
Jordi Arrese,20,1993,159.7,33.5,53.3,29.2,43.7
Tomas Carbonell,21,1993,159.7,34.7,53.6,30.2,41.2
Horst Skoff,22,1993,159.1,32.5,53.9,28.8,43.9
Jonas Svensson,23,1993,158.0,33.3,52.2,29.0,43.5
Mikael Pernfors,24,1993,157.9,31.0,52.1,29.3,45.5
Magnus Gustafsson,25,1993,157.4,35.0,49.7,30.0,42.7
Aaron Krickstein,26,1993,157.1,31.1,54.5,30.6,40.9
Patrick McEnroe,27,1993,157.0,30.7,54.8,28.1,43.4
Jim Courier,28,1993,156.8,32.2,53.5,29.1,42.0
Alex Corretja,29,1993,156.6,34.1,49.9,29.7,42.9
Jaime Yzaga,30,1993,156.2,31.8,53.0,28.8,42.6
Jaime Oncins,31,1993,155.9,33.2,52.9,28.1,41.7
Renzo Furlan,32,1993,155.6,32.9,50.6,28.4,43.7
Pete Sampras,33,1993,155.2,30.4,54.0,27.7,43.1
Todd Woodbridge,34,1993,155.2,33.1,51.6,27.4,43.1
Javier Sanchez,35,1993,154.8,35.4,50.7,28.9,39.8
Gilbert Schaller,36,1993,153.1,29.5,52.9,27.3,43.4
Andrei Medvedev,37,1993,153.0,31.0,53.1,26.6,42.3
Ronald Agenor,38,1993,152.8,31.3,52.8,27.1,41.6
Anders Jarryd,39,1993,152.8,31.3,54.0,28.5,39.0
Arnaud Boetsch,40,1993,152.6,30.3,53.5,27.3,41.5
Alexander Volkov,41,1993,152.5,30.1,52.6,26.9,42.9
Amos Mansdorf,42,1993,151.6,29.1,52.8,26.5,43.2
Todd Martin,43,1993,151.4,29.5,52.2,24.9,44.8
David Wheaton,44,1993,151.3,28.1,54.4,26.0,42.8
Christian Bergstrom,45,1993,151.0,30.8,51.5,25.4,43.3
Andrei Cherkasov,46,1993,150.7,28.5,53.5,26.4,42.3
Gabriel Markus,47,1993,150.7,31.0,55.2,27.4,37.1
Marcelo Filippini,48,1993,150.4,32.8,50.2,26.5,40.9
Ivan Lendl,49,1993,150.4,32.1,50.9,26.8,40.6
Jeff Tarango,50,1993,150.0,30.7,49.7,27.2,42.4
Franco Davin,1,1992,174.1,36.2,54.3,35.3,48.3
Michael Chang,2,1992,174.0,34.9,57.1,36.7,45.3
Bart Wuyts,3,1992,171.4,35.2,54.9,34.8,46.5
Tomas Carbonell,4,1992,169.7,35.3,53.5,34.2,46.7
Andre Agassi,5,1992,169.0,30.2,57.9,33.7,47.2
Renzo Furlan,6,1992,167.9,35.8,53.3,33.6,45.2
Aaron Krickstein,7,1992,167.3,33.8,55.5,34.0,44.0
Jordi Arrese,8,1992,165.2,33.9,54.9,32.9,43.5
Francisco Roig,9,1992,164.6,35.2,55.7,34.4,39.3
Jaime Oncins,10,1992,163.7,34.8,53.5,32.4,43.0
Guillermo Perez-Roldan,11,1992,163.7,36.0,50.8,31.0,45.9
Sergi Bruguera,12,1992,163.4,33.8,52.1,32.3,45.2
Andrei Medvedev,13,1992,163.0,34.9,51.5,30.7,45.9
Fabrice Santoro,14,1992,162.9,35.8,51.7,31.2,44.2
Carlos Costa,15,1992,162.8,32.1,56.8,31.8,42.1
Christian Bergstrom,16,1992,161.6,33.8,53.1,32.0,42.7
Francisco Clavet,17,1992,160.5,32.2,53.2,29.9,45.2
Petr Korda,18,1992,160.2,34.1,53.0,31.4,41.7
Frederic Fontang,19,1992,159.2,34.9,52.6,32.0,39.7
Jim Courier,20,1992,158.3,31.8,54.5,29.8,42.2
Goran Prpic,21,1992,158.0,34.0,52.5,31.0,40.5
MaliVai Washington,22,1992,157.1,33.1,50.8,28.8,44.4
Thierry Champion,23,1992,156.6,31.8,53.6,28.4,42.8
Karel Novacek,24,1992,156.6,33.3,52.1,29.9,41.3
Thomas Muster,25,1992,156.5,32.6,52.9,29.1,41.9
Jonas Svensson,26,1992,156.5,32.3,53.2,27.5,43.5
Magnus Gustafsson,27,1992,156.3,35.7,49.9,29.4,41.3
Wayne Ferreira,28,1992,155.2,32.2,51.9,27.5,43.6
Brad Gilbert,29,1992,154.9,32.4,51.3,27.3,43.9
Jimmy Connors,30,1992,154.8,31.2,53.2,28.5,41.9
Andrei Chesnokov,31,1992,154.7,32.3,52.0,28.9,41.5
Jaime Yzaga,32,1992,154.3,32.0,51.7,28.2,42.4
Ivan Lendl,33,1992,153.8,30.6,53.3,28.4,41.5
Alexander Volkov,34,1992,153.8,30.1,52.0,26.6,45.1
Patrick McEnroe,35,1992,153.7,29.3,54.6,26.1,43.7
Gabriel Markus,36,1992,153.0,30.0,53.3,24.6,45.1
Emilio Sanchez,37,1992,152.9,33.8,49.0,27.3,42.8
Stefan Edberg,38,1992,152.8,31.1,53.5,27.4,40.8
Marcelo Filippini,39,1992,152.6,32.5,51.9,27.1,41.1
Carl-Uwe Steeb,40,1992,152.1,31.0,52.3,26.1,42.7
Pete Sampras,41,1992,152.1,30.4,51.7,26.5,43.5
Gianluca Pozzi,42,1992,151.7,32.0,51.2,26.3,42.2
John McEnroe,43,1992,151.1,30.2,51.3,26.6,43.0
Henrik Holm,44,1992,150.7,31.8,51.0,25.1,42.8
Jeff Tarango,45,1992,150.2,29.5,51.9,26.7,42.1
Guillaume Raoux,46,1992,150.1,27.3,53.9,25.3,43.6
Todd Martin,47,1992,149.7,30.1,52.7,26.5,40.4
Mark Woodforde,48,1992,149.7,31.2,51.9,25.7,40.9
Alberto Mancini,49,1992,149.6,28.9,50.5,24.1,46.1
Horst Skoff,50,1992,149.3,32.4,48.5,26.2,42.2
Guillermo Perez-Roldan,1,1991,183.3,37.5,56.6,38.6,50.6
Magnus Gustafsson,2,1991,177.2,37.9,55.4,36.1,47.8
Thomas Muster,3,1991,175.7,37.7,54.4,36.0,47.6
Michael Chang,4,1991,172.7,34.5,54.8,35.2,48.2
Andrei Chesnokov,5,1991,172.0,36.4,52.7,35.1,47.8
Jordi Arrese,6,1991,169.8,34.9,55.5,34.3,45.1
Stefan Edberg,7,1991,168.1,35.5,54.3,33.3,45.0
Sergi Bruguera,8,1991,167.5,34.2,55.4,32.8,45.1
Horacio de la Pena,9,1991,166.8,37.4,53.6,34.6,41.2
Fabrice Santoro,10,1991,166.2,35.5,53.8,33.9,43.0
Anders Jarryd,11,1991,165.2,33.4,52.5,30.8,48.5
Francisco Clavet,12,1991,165.1,34.9,53.2,33.0,44.0
Goran Prpic,13,1991,165.1,34.3,53.7,32.2,44.9
Eduardo Masso,14,1991,164.7,34.9,52.8,30.4,46.6
Jimmy Connors,15,1991,164.6,34.3,54.1,32.3,43.9
Lars Jonsson,16,1991,164.4,33.4,53.2,32.1,45.7
Christian Bergstrom,17,1991,163.2,34.8,52.1,31.6,44.7
Renzo Furlan,18,1991,163.2,35.8,51.2,31.5,44.7
Ivan Lendl,19,1991,161.5,32.1,53.3,29.4,46.7
Jaime Yzaga,20,1991,160.4,34.5,51.1,30.8,44.0
Jim Courier,21,1991,160.3,31.8,53.2,29.7,45.6
Petr Korda,22,1991,160.3,33.7,52.7,29.6,44.3
Marian Vajda,23,1991,159.6,34.7,51.3,29.3,44.3
Jaime Oncins,24,1991,159.4,35.1,53.7,29.7,40.9
Patrick McEnroe,25,1991,159.3,32.2,55.7,30.3,41.1
Jimmy Arias,26,1991,158.8,32.4,53.8,29.7,42.9
Paul Haarhuis,27,1991,158.3,34.2,49.6,28.2,46.3
Horst Skoff,28,1991,157.4,34.6,51.3,29.1,42.4
Richard Fromberg,29,1991,157.0,34.8,48.3,27.7,46.2
Thierry Champion,30,1991,156.9,33.8,49.2,28.1,45.8
Brad Gilbert,31,1991,156.6,34.8,49.6,28.7,43.5
Carl-Uwe Steeb,32,1991,156.4,33.4,52.1,27.4,43.5
Andrei Cherkasov,33,1991,156.3,31.8,54.0,28.3,42.2
Andre Agassi,34,1991,155.7,32.0,53.0,28.9,41.8
Arnaud Boetsch,35,1991,155.7,32.5,52.9,28.8,41.5
Alexander Volkov,36,1991,155.4,32.5,50.7,26.6,45.6
Jonas Svensson,37,1991,155.3,33.5,50.3,27.9,43.6
Veli Paloheimo,38,1991,154.7,35.5,52.1,29.4,37.7
Javier Frana,39,1991,154.2,30.7,51.0,25.1,47.4
Jan Gunnarsson,40,1991,154.2,33.3,51.3,27.9,41.7
Richey Reneberg,41,1991,153.9,33.5,51.2,28.4,40.8
Gilad Bloom,42,1991,153.3,31.6,49.4,27.2,45.1
Boris Becker,43,1991,153.1,32.6,50.4,27.3,42.8
MaliVai Washington,44,1991,152.8,30.8,52.1,26.1,43.8
John McEnroe,45,1991,152.6,33.5,50.6,27.7,40.8
Tomas Carbonell,46,1991,152.0,31.5,50.4,26.5,43.6
Todd Woodbridge,47,1991,152.0,30.0,53.3,26.5,42.2
Martin Jaite,48,1991,151.7,32.7,48.7,26.0,44.3
Mark Koevermans,49,1991,151.7,34.7,48.6,26.6,41.8
Omar Camporese,50,1991,151.6,32.1,49.8,26.2,43.5
